COU;country;IND;indicator;year;year_of_labour_market_entry;unit_code;unit;PowerCode_Code;PowerCode;value
AUS;Australia;PEN1A;Current retirement ages for a person who entered the labour force at age 22, men;2018;2018;YR;Years;0;Units;65
AUS;Australia;PEN1B;Current retirement ages for a person who entered the labour force at age 22, women;2018;2018;YR;Years;0;Units;65
AUS;Australia;PEN2A;Future retirement ages for a person who entered the labour force at age 22, men;2018;2018;YR;Years;0;Units;67
AUS;Australia;PEN2B;Future retirement ages for a person who entered the labour force at age 22, women;2018;2018;YR;Years;0;Units;67
AUS;Australia;PEN3A;Gross pension replacement rate, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;64.9
AUS;Australia;PEN3B;Gross pension replacement rate, Male, 1.00 of AW;2018;2018;PC;Percentage;0;Units;30.9
AUS;Australia;PEN3C;Gross pension replacement rate, Male, 1.50 of AW;2018;2018;PC;Percentage;0;Units;30.9
AUS;Australia;PEN4A;Gross pension replacement rate, Female, 0.50 of AW;2018;2018;PC;Percentage;0;Units;62.1
AUS;Australia;PEN4B;Gross pension replacement rate, Female, 1.00 of AW;2018;2018;PC;Percentage;0;Units;28.1
AUS;Australia;PEN4C;Gross pension replacement rate, Female, 1.50 of AW;2018;2018;PC;Percentage;0;Units;28.1
AUS;Australia;PEN5A;Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;64.9
AUS;Australia;PEN7A;Net pension replacement rate, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;75.5
AUS;Australia;PEN7B;Net pension replacement rate, Male, 1.00 of AW;2018;2018;PC;Percentage;0;Units;41
AUS;Australia;PEN7C;Net pension replacement rate, Male, 1.50 of AW;2018;2018;PC;Percentage;0;Units;43.8
AUS;Australia;PEN8A;Net pension replacement rate, Female, 0.50 of AW;2018;2018;PC;Percentage;0;Units;72.2
AUS;Australia;PEN8B;Net pension replacement rate, Female, 1.00 of AW;2018;2018;PC;Percentage;0;Units;37.3
AUS;Australia;PEN8C;Net pension replacement rate, Female, 1.50 of AW;2018;2018;PC;Percentage;0;Units;39.8
AUS;Australia;PEN9A;Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;75.5
AUS;Australia;PEN9B;Net pension replacement rate, Mandatory and Voluntary, Male, 1.00 of AW;2018;2018;PC;Percentage;0;Units;41
AUS;Australia;PEN9C;Net pension replacement rate, Mandatory and Voluntary, Male, 1.50 of AW;2018;2018;PC;Percentage;0;Units;43.8
AUS;Australia;PEN10A;Gross pension wealth, Male, 0.50 of AW;2018;2018;RATIO;Ratio;0;Units;11.7
AUS;Australia;PEN10B;Gross pension wealth, Male, 1.00 of AW;2018;2018;RATIO;Ratio;0;Units;5.6
AUS;Australia;PEN10C;Gross pension wealth, Male, 1.50 of AW;2018;2018;RATIO;Ratio;0;Units;5.6
AUS;Australia;PEN11A;Gross pension wealth, Female, 0.50 of AW;2018;2018;RATIO;Ratio;0;Units;12.4
AUS;Australia;PEN11C;Gross pension wealth, Female, 1.50 of AW;2018;2018;RATIO;Ratio;0;Units;5.6
AUS;Australia;PEN11B;Gross pension wealth, Female, 1.00 of AW;2018;2018;RATIO;Ratio;0;Units;5.6
AUS;Australia;PEN12A;Net pension wealth, Male, 0.50 of AW;2018;2018;RATIO;Ratio;0;Units;13.6
AUS;Australia;PEN12B;Net pension wealth, Male, 1.00 of AW;2018;2018;RATIO;Ratio;0;Units;7.4
AUS;Australia;PEN12C;Net pension wealth, Male, 1.50 of AW;2018;2018;RATIO;Ratio;0;Units;7.9
AUS;Australia;PEN13A;Net pension wealth, Female, 0.50 of AW;2018;2018;RATIO;Ratio;0;Units;14.4
AUS;Australia;PEN13B;Net pension wealth, Female, 1.00 of AW;2018;2018;RATIO;Ratio;0;Units;7.4
AUS;Australia;PEN13C;Net pension wealth, Female, 1.50 of AW;2018;2018;RATIO;Ratio;0;Units;7.9
AUS;Australia;PEN6A;Tax treatment of pensions and pensioners, Worker at average earnings, men;2018;2018;PC;Percentage;0;Units;24.6
AUS;Australia;PEN6B;Tax treatment of pensions and pensioners, Pensioner (at gross replacement rate of average earnings), men;2018;2018;PC;Percentage;0;Units;0
AUS;Australia;PEN6C;Tax treatment of pensions and pensioners, Pensioner (at income equal to average earnings), men;2018;2018;PC;Percentage;0;Units;24.6
AUS;Australia;PEN15A;Life expectancy at birth, Men;2018;2018;YR;Years;0;Units;81.2
AUS;Australia;PEN15B;Life expectancy at birth, Women;2018;2018;YR;Years;0;Units;85.2
AUS;Australia;PEN17A;Employment rate of older workers, 55-59;2018;2018;PC;Percentage;0;Units;71.5
AUS;Australia;PEN17B;Employment rate of older workers, 60-64;2018;2018;PC;Percentage;0;Units;55.2
AUS;Australia;PEN17C;Employment rate of older workers, 65-69;2018;2018;PC;Percentage;0;Units;28.5
AUS;Australia;PEN19A;Effective labour market exit age, men;2018;2018;YR;Years;0;Units;65.3
AUS;Australia;PEN19B;Effective labour market exit age, women;2018;2018;YR;Years;0;Units;64.3
AUS;Australia;PEN20A;Expected years in retirement, men;2018;2018;YR;Years;0;Units;19.8
AUS;Australia;PEN20B;Expected years in retirement, women;2018;2018;YR;Years;0;Units;23.3
AUS;Australia;PEN23A;Average worker earnings, national currency;2018;2018;;;0;Units;85778
AUS;Australia;PEN23B;Average worker earnings, USD market exchange rate;2018;2018;USD;US Dollar;0;Units;64089.4
AUT;Austria;PEN1A;Current retirement ages for a person who entered the labour force at age 22, men;2018;2018;YR;Years;0;Units;65
AUT;Austria;PEN1B;Current retirement ages for a person who entered the labour force at age 22, women;2018;2018;YR;Years;0;Units;60
AUT;Austria;PEN2A;Future retirement ages for a person who entered the labour force at age 22, men;2018;2018;YR;Years;0;Units;65
AUT;Austria;PEN2B;Future retirement ages for a person who entered the labour force at age 22, women;2018;2018;YR;Years;0;Units;65
AUT;Austria;PEN3A;Gross pension replacement rate, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN3B;Gross pension replacement rate, Male, 1.00 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN3C;Gross pension replacement rate, Male, 1.50 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN4A;Gross pension replacement rate, Female, 0.50 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN4B;Gross pension replacement rate, Female, 1.00 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN4C;Gross pension replacement rate, Female, 1.50 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN5A;Gross pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;76.5
AUT;Austria;PEN7A;Net pension replacement rate, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;89.7
AUT;Austria;PEN7B;Net pension replacement rate, Male, 1.00 of AW;2018;2018;PC;Percentage;0;Units;89.9
AUT;Austria;PEN7C;Net pension replacement rate, Male, 1.50 of AW;2018;2018;PC;Percentage;0;Units;89.6
AUT;Austria;PEN8A;Net pension replacement rate, Female, 0.50 of AW;2018;2018;PC;Percentage;0;Units;89.7
AUT;Austria;PEN8B;Net pension replacement rate, Female, 1.00 of AW;2018;2018;PC;Percentage;0;Units;89.9
AUT;Austria;PEN8C;Net pension replacement rate, Female, 1.50 of AW;2018;2018;PC;Percentage;0;Units;89.6
AUT;Austria;PEN9A;Net pension replacement rate, Mandatory and Voluntary, Male, 0.50 of AW;2018;2018;PC;Percentage;0;Units;89.7
